H	C	q
0.454071	0.381887	-10.000000
0.455899	0.382695	-9.900000
0.457756	0.383507	-9.800000
0.459643	0.384322	-9.700000
0.461560	0.385141	-9.600000
0.463507	0.385963	-9.500000
0.465484	0.386787	-9.400000
0.467492	0.387614	-9.300000
0.469532	0.388441	-9.200000
0.471604	0.389269	-9.100000
0.473708	0.390098	-9.000000
0.475845	0.390925	-8.900000
0.478015	0.391752	-8.800000
0.480219	0.392576	-8.700000
0.482457	0.393398	-8.600000
0.484730	0.394216	-8.500000
0.487038	0.395030	-8.400000
0.489381	0.395838	-8.300000
0.491761	0.396641	-8.200000
0.494178	0.397436	-8.100000
0.496632	0.398224	-8.000000
0.499123	0.399002	-7.900000
0.501653	0.399770	-7.800000
0.504222	0.400527	-7.700000
0.506830	0.401272	-7.600000
0.509478	0.402003	-7.500000
0.512167	0.402720	-7.400000
0.514897	0.403421	-7.300000
0.517668	0.404104	-7.200000
0.520482	0.404768	-7.100000
0.523339	0.405413	-7.000000
0.526239	0.406036	-6.900000
0.529183	0.406636	-6.800000
0.532172	0.407212	-6.700000
0.535205	0.407761	-6.600000
0.538284	0.408283	-6.500000
0.541410	0.408775	-6.400000
0.544582	0.409236	-6.300000
0.547801	0.409664	-6.200000
0.551068	0.410058	-6.100000
0.554382	0.410414	-6.000000
0.557745	0.410732	-5.900000
0.561156	0.411010	-5.800000
0.564617	0.411245	-5.700000
0.568126	0.411436	-5.600000
0.571685	0.411580	-5.500000
0.575293	0.411675	-5.400000
0.578950	0.411720	-5.300000
0.582656	0.411712	-5.200000
0.586411	0.411649	-5.100000
0.590215	0.411529	-5.000000
0.594067	0.411350	-4.900000
0.597967	0.411110	-4.800000
0.601913	0.410806	-4.700000
0.605906	0.410437	-4.600000
0.609943	0.410001	-4.500000
0.614024	0.409495	-4.400000
0.618147	0.408918	-4.300000
0.622311	0.408269	-4.200000
0.626513	0.407544	-4.100000
0.630751	0.406744	-4.000000
0.635024	0.405866	-3.900000
0.639328	0.404909	-3.800000
0.643660	0.403873	-3.700000
0.648017	0.402756	-3.600000
0.652396	0.401558	-3.500000
0.656793	0.400279	-3.400000
0.661202	0.398919	-3.300000
0.665621	0.397477	-3.200000
0.670043	0.395955	-3.100000
0.674464	0.394354	-3.000000
0.678878	0.392674	-2.900000
0.683278	0.390918	-2.800000
0.687658	0.389089	-2.700000
0.692012	0.387188	-2.600000
0.696331	0.385218	-2.500000
0.700608	0.383185	-2.400000
0.704835	0.381092	-2.300000
0.709003	0.378943	-2.200000
0.713102	0.376745	-2.100000
0.717123	0.374503	-2.000000
0.721054	0.372224	-1.900000
0.724886	0.369915	-1.800000
0.728606	0.367585	-1.700000
0.732200	0.365243	-1.600000
0.735655	0.362898	-1.500000
0.738955	0.360559	-1.400000
0.742084	0.358239	-1.300000
0.745022	0.355950	-1.200000
0.747747	0.353703	-1.100000
0.750236	0.351511	-1.000000
0.752460	0.349390	-0.900000
0.754386	0.347352	-0.800000
0.755976	0.345413	-0.700000
0.757184	0.343587	-0.600000
0.757958	0.341891	-0.500000
0.758232	0.340337	-0.400000
0.757931	0.338940	-0.300000
0.756963	0.337710	-0.200000
0.755222	0.336658	-0.100000
0.752583	0.335786	-0.000000
0.748898	0.335094	0.100000
0.744001	0.334569	0.200000
0.737707	0.334190	0.300000
0.729811	0.333919	0.400000
0.720102	0.333698	0.500000
0.708368	0.333447	0.600000
0.694411	0.333063	0.700000
0.678070	0.332412	0.800000
0.659241	0.331339	0.900000
0.637903	0.329672	1.000000
0.614136	0.327229	1.100000
0.588136	0.323840	1.200000
0.560222	0.319361	1.300000
0.530820	0.313697	1.400000
0.500445	0.306816	1.500000
0.469659	0.298760	1.600000
0.439031	0.289645	1.700000
0.409099	0.279651	1.800000
0.380330	0.269005	1.900000
0.353098	0.257958	2.000000
0.327676	0.246762	2.100000
0.304231	0.235652	2.200000
0.282835	0.224830	2.300000
0.263483	0.214456	2.400000
0.246106	0.204645	2.500000
0.230592	0.195473	2.600000
0.216801	0.186977	2.700000
0.204578	0.179164	2.800000
0.193763	0.172018	2.900000
0.184199	0.165506	3.000000
0.175736	0.159586	3.100000
0.168236	0.154208	3.200000
0.161573	0.149320	3.300000
0.155636	0.144872	3.400000
0.150325	0.140813	3.500000
0.145552	0.137098	3.600000
0.141243	0.133686	3.700000
0.137331	0.130537	3.800000
0.133760	0.127619	3.900000
0.130482	0.124901	4.000000
0.127455	0.122359	4.100000
0.124646	0.119968	4.200000
0.122022	0.117710	4.300000
0.119561	0.115567	4.400000
0.117238	0.113526	4.500000
0.115037	0.111572	4.600000
0.112942	0.109697	4.700000
0.110939	0.107890	4.800000
0.109017	0.106144	4.900000
0.107166	0.104452	5.000000
0.105379	0.102808	5.100000
0.103648	0.101207	5.200000
0.101967	0.099645	5.300000
0.100331	0.098118	5.400000
0.098737	0.096624	5.500000
0.097179	0.095159	5.600000
0.095655	0.093721	5.700000
0.094163	0.092308	5.800000
0.092699	0.090918	5.900000
0.091262	0.089551	6.000000
0.089849	0.088203	6.100000
0.088460	0.086876	6.200000
0.087093	0.085566	6.300000
0.085747	0.084275	6.400000
0.084421	0.083000	6.500000
0.083113	0.081741	6.600000
0.081824	0.080499	6.700000
0.080552	0.079271	6.800000
0.079296	0.078058	6.900000
0.078058	0.076860	7.000000
0.076835	0.075675	7.100000
0.075627	0.074505	7.200000
0.074435	0.073348	7.300000
0.073257	0.072204	7.400000
0.072095	0.071074	7.500000
