H	C	q
0.324537	0.279338	-10.000000
0.329459	0.282257	-9.900000
0.334523	0.285200	-9.800000
0.339731	0.288165	-9.700000
0.345089	0.291148	-9.600000
0.350603	0.294146	-9.500000
0.356278	0.297154	-9.400000
0.362120	0.300168	-9.300000
0.368135	0.303182	-9.200000
0.374327	0.306191	-9.100000
0.380705	0.309188	-9.000000
0.387273	0.312165	-8.900000
0.394038	0.315116	-8.800000
0.401007	0.318030	-8.700000
0.408186	0.320898	-8.600000
0.415583	0.323709	-8.500000
0.423203	0.326452	-8.400000
0.431054	0.329114	-8.300000
0.439142	0.331681	-8.200000
0.447474	0.334137	-8.100000
0.456056	0.336467	-8.000000
0.464895	0.338653	-7.900000
0.473996	0.340676	-7.800000
0.483366	0.342515	-7.700000
0.493009	0.344150	-7.600000
0.502931	0.345557	-7.500000
0.513133	0.346711	-7.400000
0.523620	0.347588	-7.300000
0.534394	0.348161	-7.200000
0.545454	0.348403	-7.100000
0.556801	0.348285	-7.000000
0.568431	0.347778	-6.900000
0.580340	0.346854	-6.800000
0.592522	0.345483	-6.700000
0.604969	0.343638	-6.600000
0.617668	0.341291	-6.500000
0.630606	0.338416	-6.400000
0.643766	0.334990	-6.300000
0.657127	0.330992	-6.200000
0.670667	0.326405	-6.100000
0.684357	0.321217	-6.000000
0.698167	0.315420	-5.900000
0.712063	0.309012	-5.800000
0.726008	0.302000	-5.700000
0.739960	0.294394	-5.600000
0.753874	0.286216	-5.500000
0.767704	0.277493	-5.400000
0.781400	0.268262	-5.300000
0.794912	0.258570	-5.200000
0.808187	0.248470	-5.100000
0.821172	0.238023	-5.000000
0.833816	0.227299	-4.900000
0.846067	0.216373	-4.800000
0.857877	0.205326	-4.700000
0.869200	0.194242	-4.600000
0.879996	0.183206	-4.500000
0.890227	0.172307	-4.400000
0.899862	0.161629	-4.300000
0.908876	0.151256	-4.200000
0.917249	0.141266	-4.100000
0.924970	0.131731	-4.000000
0.932031	0.122717	-3.900000
0.938434	0.114280	-3.800000
0.944185	0.106469	-3.700000
0.949296	0.099322	-3.600000
0.953784	0.092869	-3.500000
0.957670	0.087129	-3.400000
0.960979	0.082114	-3.300000
0.963739	0.077825	-3.200000
0.965979	0.074257	-3.100000
0.967729	0.071398	-3.000000
0.969021	0.069230	-2.900000
0.969884	0.067729	-2.800000
0.970350	0.066869	-2.700000
0.970447	0.066619	-2.600000
0.970202	0.066948	-2.500000
0.969639	0.067822	-2.400000
0.968783	0.069207	-2.300000
0.967653	0.071071	-2.200000
0.966269	0.073379	-2.100000
0.964647	0.076101	-2.000000
0.962801	0.079206	-1.900000
0.960744	0.082665	-1.800000
0.958486	0.086452	-1.700000
0.956037	0.090540	-1.600000
0.953403	0.094906	-1.500000
0.950592	0.099529	-1.400000
0.947608	0.104388	-1.300000
0.944456	0.109465	-1.200000
0.941140	0.114742	-1.100000
0.937663	0.120201	-1.000000
0.934026	0.125828	-0.900000
0.930234	0.131608	-0.800000
0.926288	0.137526	-0.700000
0.922190	0.143568	-0.600000
0.917941	0.149721	-0.500000
0.913545	0.155972	-0.400000
0.909003	0.162307	-0.300000
0.904318	0.168713	-0.200000
0.899492	0.175178	-0.100000
0.894528	0.181688	-0.000000
0.889428	0.188231	0.100000
0.884195	0.194794	0.200000
0.878833	0.201365	0.300000
0.873346	0.207930	0.400000
0.867737	0.214479	0.500000
0.862010	0.220997	0.600000
0.856170	0.227475	0.700000
0.850220	0.233899	0.800000
0.844165	0.240258	0.900000
0.838011	0.246541	1.000000
0.831762	0.252739	1.100000
0.825423	0.258839	1.200000
0.819000	0.264832	1.300000
0.812497	0.270710	1.400000
0.805921	0.276462	1.500000
0.799277	0.282081	1.600000
0.792570	0.287560	1.700000
0.785806	0.292889	1.800000
0.778990	0.298064	1.900000
0.772129	0.303078	2.000000
0.765227	0.307926	2.100000
0.758291	0.312603	2.200000
0.751325	0.317104	2.300000
0.744335	0.321427	2.400000
0.737327	0.325569	2.500000
0.730305	0.329526	2.600000
0.723275	0.333297	2.700000
0.716242	0.336882	2.800000
0.709210	0.340279	2.900000
0.702183	0.343488	3.000000
0.695168	0.346509	3.100000
0.688167	0.349344	3.200000
0.681185	0.351994	3.300000
0.674226	0.354460	3.400000
0.667294	0.356745	3.500000
0.660393	0.358850	3.600000
0.653526	0.360779	3.700000
0.646696	0.362535	3.800000
0.639906	0.364121	3.900000
0.633160	0.365540	4.000000
0.626460	0.366797	4.100000
0.619809	0.367895	4.200000
0.613209	0.368839	4.300000
0.606662	0.369633	4.400000
0.600171	0.370281	4.500000
0.593737	0.370788	4.600000
0.587363	0.371158	4.700000
0.581050	0.371396	4.800000
0.574799	0.371507	4.900000
0.568612	0.371495	5.000000
0.562490	0.371366	5.100000
0.556434	0.371123	5.200000
0.550445	0.370772	5.300000
0.544524	0.370317	5.400000
0.538671	0.369763	5.500000
0.532888	0.369113	5.600000
0.527174	0.368374	5.700000
0.521530	0.367548	5.800000
0.515956	0.366641	5.900000
0.510453	0.365655	6.000000
0.505020	0.364597	6.100000
0.499658	0.363468	6.200000
0.494366	0.362274	6.300000
0.489145	0.361018	6.400000
0.483994	0.359703	6.500000
0.478913	0.358334	6.600000
0.473901	0.356912	6.700000
0.468958	0.355443	6.800000
0.464084	0.353928	6.900000
0.459278	0.352372	7.000000
0.454540	0.350776	7.100000
0.449868	0.349144	7.200000
0.445263	0.347478	7.300000
0.440723	0.345780	7.400000
0.436249	0.344055	7.500000
0.431838	0.342302	7.600000
0.427491	0.340526	7.700000
0.423206	0.338728	7.800000
0.418983	0.336909	7.900000
0.414822	0.335073	8.000000
0.410720	0.333220	8.100000
0.406677	0.331353	8.200000
0.402693	0.329474	8.300000
0.398766	0.327583	8.400000
0.394896	0.325682	8.500000
0.391082	0.323773	8.600000
0.387322	0.321856	8.700000
0.383616	0.319934	8.800000
0.379963	0.318008	8.900000
0.376362	0.316078	9.000000
0.372813	0.314145	9.100000
0.369314	0.312212	9.200000
0.365864	0.310277	9.300000
0.362462	0.308343	9.400000
0.359109	0.306411	9.500000
0.355802	0.304480	9.600000
0.352541	0.302552	9.700000
0.349326	0.300628	9.800000
0.346154	0.298707	9.900000
0.343026	0.296791	10.000000
