H	C	q
0.224063	0.212306	-10.000000
0.226178	0.214020	-9.900000
0.228359	0.215775	-9.800000
0.230607	0.217572	-9.700000
0.232927	0.219411	-9.600000
0.235323	0.221295	-9.500000
0.237799	0.223224	-9.400000
0.240360	0.225201	-9.300000
0.243011	0.227228	-9.200000
0.245757	0.229305	-9.100000
0.248604	0.231434	-9.000000
0.251559	0.233618	-8.900000
0.254629	0.235858	-8.800000
0.257820	0.238156	-8.700000
0.261142	0.240513	-8.600000
0.264603	0.242931	-8.500000
0.268213	0.245412	-8.400000
0.271982	0.247958	-8.300000
0.275922	0.250569	-8.200000
0.280044	0.253248	-8.100000
0.284364	0.255995	-8.000000
0.288894	0.258811	-7.900000
0.293652	0.261696	-7.800000
0.298654	0.264650	-7.700000
0.303920	0.267671	-7.600000
0.309470	0.270759	-7.500000
0.315325	0.273911	-7.400000
0.321511	0.277122	-7.300000
0.328052	0.280387	-7.200000
0.334977	0.283698	-7.100000
0.342315	0.287046	-7.000000
0.350098	0.290418	-6.900000
0.358361	0.293800	-6.800000
0.367139	0.297171	-6.700000
0.376470	0.300510	-6.600000
0.386392	0.303786	-6.500000
0.396948	0.306967	-6.400000
0.408178	0.310012	-6.300000
0.420124	0.312873	-6.200000
0.432826	0.315495	-6.100000
0.446324	0.317815	-6.000000
0.460653	0.319759	-5.900000
0.475844	0.321249	-5.800000
0.491922	0.322192	-5.700000
0.508902	0.322494	-5.600000
0.526788	0.322050	-5.500000
0.545572	0.320755	-5.400000
0.565227	0.318500	-5.300000
0.585708	0.315182	-5.200000
0.606948	0.310707	-5.100000
0.628858	0.304994	-5.000000
0.651323	0.297983	-4.900000
0.674206	0.289643	-4.800000
0.697344	0.279974	-4.700000
0.720557	0.269014	-4.600000
0.743646	0.256843	-4.500000
0.766407	0.243581	-4.400000
0.788629	0.229387	-4.300000
0.810108	0.214454	-4.200000
0.830654	0.199003	-4.100000
0.850099	0.183268	-4.000000
0.868301	0.167492	-3.900000
0.885153	0.151911	-3.800000
0.900582	0.136744	-3.700000
0.914555	0.122184	-3.600000
0.927069	0.108395	-3.500000
0.938159	0.095504	-3.400000
0.947884	0.083598	-3.300000
0.956325	0.072734	-3.200000
0.963580	0.062930	-3.100000
0.969756	0.054178	-3.000000
0.974967	0.046446	-2.900000
0.979325	0.039682	-2.800000
0.982940	0.033820	-2.700000
0.985915	0.028786	-2.600000
0.988347	0.024500	-2.500000
0.990321	0.020882	-2.400000
0.991915	0.017851	-2.300000
0.993195	0.015329	-2.200000
0.994219	0.013247	-2.100000
