H	C	q
0.087526	0.086870	-10.000000
0.087951	0.087287	-9.900000
0.088379	0.087707	-9.800000
0.088810	0.088130	-9.700000
0.089244	0.088556	-9.600000
0.089680	0.088985	-9.500000
0.090121	0.089417	-9.400000
0.090565	0.089852	-9.300000
0.091012	0.090291	-9.200000
0.091464	0.090734	-9.100000
0.091920	0.091181	-9.000000
0.092380	0.091632	-8.900000
0.092845	0.092088	-8.800000
0.093316	0.092549	-8.700000
0.093791	0.093015	-8.600000
0.094272	0.093486	-8.500000
0.094759	0.093963	-8.400000
0.095253	0.094445	-8.300000
0.095752	0.094935	-8.200000
0.096259	0.095431	-8.100000
0.096774	0.095934	-8.000000
0.097296	0.096444	-7.900000
0.097826	0.096963	-7.800000
0.098365	0.097489	-7.700000
0.098913	0.098025	-7.600000
0.099471	0.098570	-7.500000
0.100039	0.099125	-7.400000
0.100618	0.099689	-7.300000
0.101208	0.100265	-7.200000
0.101811	0.100853	-7.100000
0.102426	0.101452	-7.000000
0.103054	0.102064	-6.900000
0.103696	0.102690	-6.800000
0.104354	0.103330	-6.700000
0.105027	0.103985	-6.600000
0.105717	0.104656	-6.500000
0.106425	0.105344	-6.400000
0.107151	0.106049	-6.300000
0.107897	0.106774	-6.200000
0.108664	0.107518	-6.100000
0.109453	0.108283	-6.000000
0.110266	0.109070	-5.900000
0.111103	0.109881	-5.800000
0.111967	0.110717	-5.700000
0.112859	0.111580	-5.600000
0.113781	0.112471	-5.500000
0.114734	0.113392	-5.400000
0.115721	0.114345	-5.300000
0.116744	0.115332	-5.200000
0.117805	0.116355	-5.100000
0.118907	0.117417	-5.000000
0.120053	0.118521	-4.900000
0.121245	0.119668	-4.800000
0.122488	0.120863	-4.700000
0.123783	0.122109	-4.600000
0.125136	0.123409	-4.500000
0.126550	0.124768	-4.400000
0.128031	0.126189	-4.300000
0.129582	0.127678	-4.200000
0.131210	0.129240	-4.100000
0.132921	0.130880	-4.000000
0.134720	0.132604	-3.900000
0.136615	0.134419	-3.800000
0.138615	0.136333	-3.700000
0.140726	0.138353	-3.600000
0.142960	0.140488	-3.500000
0.145325	0.142748	-3.400000
0.147833	0.145143	-3.300000
0.150497	0.147685	-3.200000
0.153330	0.150385	-3.100000
0.156347	0.153259	-3.000000
0.159566	0.156320	-2.900000
0.163005	0.159586	-2.800000
0.166687	0.163076	-2.700000
0.170639	0.166812	-2.600000
0.174895	0.170821	-2.500000
0.179503	0.175138	-2.400000
0.184529	0.179808	-2.300000
0.190076	0.184904	-2.200000
0.196316	0.190537	-2.100000
0.203534	0.196897	-2.000000
0.212222	0.204316	-1.900000
0.223214	0.213375	-1.800000
0.237873	0.225059	-1.700000
0.258255	0.240903	-1.600000
0.286975	0.262886	-1.500000
0.326184	0.292582	-1.400000
0.375132	0.329226	-1.300000
0.427733	0.368015	-1.200000
0.474374	0.401793	-1.100000
0.508427	0.425990	-1.000000
0.529773	0.440891	-0.900000
0.541998	0.449303	-0.800000
0.548732	0.453895	-0.700000
0.552393	0.456386	-0.600000
0.554352	0.457731	-0.500000
0.555349	0.458437	-0.400000
0.555780	0.458771	-0.300000
0.555861	0.458876	-0.200000
0.555712	0.458833	-0.100000
0.555404	0.458688	-0.000000
0.554982	0.458469	0.100000
0.554471	0.458193	0.200000
0.553892	0.457872	0.300000
0.553256	0.457515	0.400000
0.552573	0.457127	0.500000
0.551850	0.456712	0.600000
0.551092	0.456275	0.700000
0.550303	0.455818	0.800000
0.549487	0.455342	0.900000
0.548645	0.454849	1.000000
0.547781	0.454341	1.100000
0.546896	0.453820	1.200000
0.545991	0.453285	1.300000
0.545068	0.452737	1.400000
0.544128	0.452178	1.500000
0.543171	0.451608	1.600000
0.542200	0.451028	1.700000
0.541213	0.450438	1.800000
0.540213	0.449838	1.900000
0.539200	0.449229	2.000000
0.538174	0.448611	2.100000
0.537135	0.447985	2.200000
0.536085	0.447351	2.300000
0.535024	0.446709	2.400000
0.533952	0.446060	2.500000
0.532869	0.445403	2.600000
0.531777	0.444739	2.700000
0.530675	0.444068	2.800000
0.529563	0.443391	2.900000
0.528443	0.442707	3.000000
0.527314	0.442017	3.100000
0.526176	0.441321	3.200000
0.525030	0.440619	3.300000
0.523877	0.439911	3.400000
0.522716	0.439198	3.500000
0.521547	0.438480	3.600000
0.520372	0.437756	3.700000
0.519190	0.437027	3.800000
0.518001	0.436294	3.900000
0.516806	0.435555	4.000000
0.515605	0.434812	4.100000
0.514398	0.434065	4.200000
0.513186	0.433313	4.300000
0.511967	0.432556	4.400000
0.510744	0.431796	4.500000
0.509516	0.431031	4.600000
0.508283	0.430263	4.700000
0.507045	0.429491	4.800000
0.505803	0.428715	4.900000
0.504557	0.427935	5.000000
0.503306	0.427152	5.100000
0.502052	0.426365	5.200000
0.500794	0.425575	5.300000
0.499532	0.424781	5.400000
0.498267	0.423985	5.500000
0.496999	0.423185	5.600000
0.495728	0.422383	5.700000
0.494453	0.421577	5.800000
0.493177	0.420769	5.900000
0.491897	0.419957	6.000000
0.490616	0.419143	6.100000
0.489332	0.418327	6.200000
0.488046	0.417508	6.300000
0.486758	0.416686	6.400000
0.485468	0.415863	6.500000
0.484176	0.415036	6.600000
0.482883	0.414208	6.700000
0.481589	0.413378	6.800000
0.480293	0.412545	6.900000
0.478997	0.411710	7.000000
0.477699	0.410874	7.100000
0.476401	0.410035	7.200000
0.475101	0.409195	7.300000
0.473802	0.408353	7.400000
0.472502	0.407509	7.500000
0.471201	0.406664	7.600000
0.469900	0.405817	7.700000
0.468600	0.404969	7.800000
0.467299	0.404119	7.900000
0.465998	0.403268	8.000000
0.464698	0.402416	8.100000
0.463398	0.401563	8.200000
0.462098	0.400708	8.300000
0.460800	0.399853	8.400000
0.459501	0.398996	8.500000
0.458204	0.398138	8.600000
0.456908	0.397280	8.700000
0.455612	0.396421	8.800000
0.454318	0.395560	8.900000
0.453025	0.394700	9.000000
0.451733	0.393838	9.100000
0.450442	0.392976	9.200000
0.449153	0.392114	9.300000
0.447866	0.391251	9.400000
0.446580	0.390388	9.500000
0.445296	0.389524	9.600000
0.444014	0.388660	9.700000
0.442734	0.387796	9.800000
0.441456	0.386931	9.900000
0.440180	0.386067	10.000000
