H	C	q
0.000000	0.000000	-10.000000
0.000000	0.000000	-9.900000
0.000000	0.000000	-9.800000
0.000000	0.000000	-9.700000
0.000000	0.000000	-9.600000
0.000000	0.000000	-9.500000
0.000000	0.000000	-9.400000
0.000000	0.000000	-9.300000
0.000000	0.000000	-9.200000
0.000000	0.000000	-9.100000
0.000000	0.000000	-9.000000
0.000000	0.000000	-8.900000
0.000000	0.000000	-8.800000
0.000000	0.000000	-8.700000
0.000000	0.000000	-8.600000
0.000000	0.000000	-8.500000
0.000000	0.000000	-8.400000
0.000000	0.000000	-8.300000
0.000000	0.000000	-8.200000
0.000000	0.000000	-8.100000
0.000000	0.000000	-8.000000
0.000000	0.000000	-7.900000
0.000000	0.000000	-7.800000
0.000000	0.000000	-7.700000
0.000000	0.000000	-7.600000
0.000000	0.000000	-7.500000
0.000000	0.000000	-7.400000
0.000000	0.000000	-7.300000
0.000000	0.000000	-7.200000
0.000000	0.000000	-7.100000
0.000000	0.000000	-7.000000
0.000000	0.000000	-6.900000
0.000000	0.000000	-6.800000
0.000000	0.000000	-6.700000
0.000000	0.000000	-6.600000
0.000000	0.000000	-6.500000
0.000000	0.000000	-6.400000
0.000000	0.000000	-6.300000
0.000000	0.000000	-6.200000
0.000000	0.000000	-6.100000
0.000000	0.000000	-6.000000
0.000000	0.000000	-5.900000
0.000000	0.000000	-5.800000
0.000001	0.000001	-5.700000
0.000001	0.000001	-5.600000
0.000001	0.000001	-5.500000
0.000001	0.000001	-5.400000
0.000001	0.000001	-5.300000
0.000002	0.000002	-5.200000
0.000002	0.000002	-5.100000
0.000003	0.000003	-5.000000
0.000004	0.000004	-4.900000
0.000005	0.000005	-4.800000
0.000007	0.000007	-4.700000
0.000008	0.000008	-4.600000
0.000011	0.000011	-4.500000
0.000014	0.000014	-4.400000
0.000018	0.000018	-4.300000
0.000023	0.000023	-4.200000
0.000030	0.000030	-4.100000
0.000039	0.000039	-4.000000
0.000050	0.000050	-3.900000
0.000064	0.000064	-3.800000
0.000083	0.000083	-3.700000
0.000106	0.000106	-3.600000
0.000137	0.000136	-3.500000
0.000175	0.000175	-3.400000
0.000226	0.000225	-3.300000
0.000290	0.000290	-3.200000
0.000372	0.000372	-3.100000
0.000478	0.000477	-3.000000
0.000613	0.000612	-2.900000
0.000786	0.000785	-2.800000
0.001008	0.001007	-2.700000
0.001292	0.001290	-2.600000
0.001654	0.001651	-2.500000
0.002117	0.002113	-2.400000
0.002708	0.002702	-2.300000
0.003462	0.003453	-2.200000
0.004423	0.004410	-2.100000
0.005651	0.005631	-2.000000
0.007227	0.007196	-1.900000
0.009269	0.009223	-1.800000
0.011977	0.011906	-1.700000
0.015726	0.015602	-1.600000
0.021292	0.021045	-1.500000
0.030374	0.029798	-1.400000
0.046665	0.045122	-1.300000
0.077621	0.073183	-1.200000
0.135627	0.123153	-1.100000
0.232421	0.201603	-1.000000
0.359467	0.298330	-0.900000
0.477916	0.383595	-0.800000
0.555775	0.437068	-0.700000
0.595644	0.463366	-0.600000
0.613875	0.474961	-0.500000
0.622132	0.480041	-0.400000
0.626012	0.482364	-0.300000
0.627895	0.483469	-0.200000
0.628787	0.483987	-0.100000
0.629139	0.484196	-0.000000
0.629169	0.484225	0.100000
0.628990	0.484141	0.200000
0.628668	0.483981	0.300000
0.628240	0.483768	0.400000
0.627731	0.483516	0.500000
0.627159	0.483233	0.600000
0.626535	0.482927	0.700000
0.625868	0.482601	0.800000
0.625163	0.482259	0.900000
0.624427	0.481904	1.000000
0.623663	0.481538	1.100000
0.622874	0.481161	1.200000
0.622063	0.480777	1.300000
0.621232	0.480385	1.400000
0.620382	0.479986	1.500000
0.619517	0.479582	1.600000
0.618636	0.479172	1.700000
0.617741	0.478758	1.800000
0.616834	0.478340	1.900000
0.615915	0.477917	2.000000
0.614985	0.477491	2.100000
0.614045	0.477062	2.200000
0.613095	0.476630	2.300000
0.612137	0.476195	2.400000
0.611171	0.475758	2.500000
0.610197	0.475318	2.600000
0.609216	0.474876	2.700000
0.608228	0.474431	2.800000
0.607235	0.473985	2.900000
0.606235	0.473537	3.000000
0.605231	0.473087	3.100000
0.604221	0.472635	3.200000
0.603206	0.472181	3.300000
0.602187	0.471726	3.400000
0.601164	0.471269	3.500000
0.600137	0.470810	3.600000
0.599107	0.470350	3.700000
0.598073	0.469888	3.800000
0.597036	0.469424	3.900000
0.595995	0.468959	4.000000
0.594952	0.468493	4.100000
0.593906	0.468024	4.200000
0.592857	0.467554	4.300000
0.591806	0.467083	4.400000
0.590753	0.466609	4.500000
0.589697	0.466134	4.600000
0.588640	0.465658	4.700000
0.587580	0.465179	4.800000
0.586518	0.464699	4.900000
0.585455	0.464217	5.000000
0.584389	0.463733	5.100000
0.583322	0.463248	5.200000
0.582253	0.462760	5.300000
0.581183	0.462270	5.400000
0.580111	0.461779	5.500000
0.579037	0.461285	5.600000
0.577962	0.460789	5.700000
0.576886	0.460291	5.800000
0.575807	0.459791	5.900000
0.574728	0.459289	6.000000
0.573647	0.458785	6.100000
0.572565	0.458278	6.200000
0.571481	0.457769	6.300000
0.570396	0.457257	6.400000
0.569310	0.456744	6.500000
0.568222	0.456227	6.600000
0.567133	0.455708	6.700000
0.566043	0.455187	6.800000
0.564951	0.454663	6.900000
0.563858	0.454137	7.000000
0.562763	0.453607	7.100000
0.561668	0.453076	7.200000
0.560571	0.452541	7.300000
0.559472	0.452004	7.400000
0.558373	0.451464	7.500000
0.557272	0.450921	7.600000
0.556169	0.450375	7.700000
0.555066	0.449826	7.800000
0.553961	0.449274	7.900000
0.552854	0.448720	8.000000
0.551746	0.448162	8.100000
0.550637	0.447602	8.200000
0.549527	0.447038	8.300000
0.548415	0.446472	8.400000
0.547302	0.445902	8.500000
0.546188	0.445329	8.600000
0.545072	0.444754	8.700000
0.543955	0.444175	8.800000
0.542837	0.443593	8.900000
0.541717	0.443008	9.000000
0.540596	0.442419	9.100000
0.539473	0.441828	9.200000
0.538350	0.441233	9.300000
0.537225	0.440636	9.400000
0.536098	0.440035	9.500000
0.534971	0.439431	9.600000
0.533842	0.438824	9.700000
0.532712	0.438213	9.800000
0.531581	0.437600	9.900000
0.530448	0.436984	10.000000
