H	C	q
0.054424	0.054132	-10.000000
0.055069	0.054773	-9.900000
0.055717	0.055417	-9.800000
0.056369	0.056064	-9.700000
0.057024	0.056715	-9.600000
0.057682	0.057369	-9.500000
0.058343	0.058026	-9.400000
0.059008	0.058685	-9.300000
0.059675	0.059348	-9.200000
0.060345	0.060013	-9.100000
0.061017	0.060681	-9.000000
0.061692	0.061351	-8.900000
0.062369	0.062024	-8.800000
0.063048	0.062698	-8.700000
0.063730	0.063375	-8.600000
0.064413	0.064053	-8.500000
0.065098	0.064733	-8.400000
0.065784	0.065415	-8.300000
0.066471	0.066098	-8.200000
0.067160	0.066782	-8.100000
0.067850	0.067467	-8.000000
0.068540	0.068152	-7.900000
0.069232	0.068839	-7.800000
0.069923	0.069525	-7.700000
0.070615	0.070212	-7.600000
0.071307	0.070899	-7.500000
0.071999	0.071586	-7.400000
0.072690	0.072273	-7.300000
0.073381	0.072958	-7.200000
0.074071	0.073643	-7.100000
0.074760	0.074327	-7.000000
0.075447	0.075010	-6.900000
0.076134	0.075692	-6.800000
0.076818	0.076371	-6.700000
0.077501	0.077049	-6.600000
0.078181	0.077724	-6.500000
0.078859	0.078398	-6.400000
0.079535	0.079068	-6.300000
0.080208	0.079736	-6.200000
0.080877	0.080401	-6.100000
0.081543	0.081062	-6.000000
0.082206	0.081720	-5.900000
0.082865	0.082374	-5.800000
0.083519	0.083024	-5.700000
0.084170	0.083670	-5.600000
0.084816	0.084311	-5.500000
0.085457	0.084947	-5.400000
0.086093	0.085579	-5.300000
0.086724	0.086205	-5.200000
0.087350	0.086826	-5.100000
0.087970	0.087442	-5.000000
0.088584	0.088051	-4.900000
0.089192	0.088655	-4.800000
0.089794	0.089252	-4.700000
0.090389	0.089843	-4.600000
0.090978	0.090428	-4.500000
0.091561	0.091006	-4.400000
0.092136	0.091577	-4.300000
0.092705	0.092142	-4.200000
0.093267	0.092699	-4.100000
0.093821	0.093250	-4.000000
0.094369	0.093793	-3.900000
0.094909	0.094330	-3.800000
0.095443	0.094859	-3.700000
0.095970	0.095382	-3.600000
0.096489	0.095898	-3.500000
0.097002	0.096407	-3.400000
0.097509	0.096909	-3.300000
0.098009	0.097406	-3.200000
0.098503	0.097896	-3.100000
0.098991	0.098380	-3.000000
0.099474	0.098858	-2.900000
0.099952	0.099332	-2.800000
0.100428	0.099802	-2.700000
0.100903	0.100271	-2.600000
0.101385	0.100742	-2.500000
0.101884	0.101223	-2.400000
0.102421	0.101732	-2.300000
0.103040	0.102301	-2.200000
0.103818	0.102992	-2.100000
0.104899	0.103923	-2.000000
0.106540	0.105310	-1.900000
0.109177	0.107527	-1.800000
0.113518	0.111191	-1.700000
0.120619	0.117225	-1.600000
0.131887	0.126845	-1.500000
0.148856	0.141323	-1.400000
0.172637	0.161483	-1.300000
0.203142	0.187048	-1.200000
0.238600	0.216323	-1.100000
0.275940	0.246651	-1.000000
0.311965	0.275431	-0.900000
0.344424	0.300960	-0.800000
0.372354	0.322611	-0.700000
0.395776	0.340527	-0.600000
0.415217	0.355215	-0.500000
0.431356	0.367270	-0.400000
0.444839	0.377233	-0.300000
0.456212	0.385550	-0.200000
0.465908	0.392571	-0.100000
0.474265	0.398564	-0.000000
0.481544	0.403736	0.100000
0.487946	0.408244	0.200000
0.493627	0.412210	0.300000
0.498710	0.415728	0.400000
0.503290	0.418872	0.500000
0.507445	0.421701	0.600000
0.511237	0.424262	0.700000
0.514715	0.426594	0.800000
0.517920	0.428727	0.900000
0.520888	0.430688	1.000000
0.523644	0.432497	1.100000
0.526215	0.434172	1.200000
0.528618	0.435728	1.300000
0.530872	0.437178	1.400000
0.532990	0.438533	1.500000
0.534986	0.439802	1.600000
0.536870	0.440992	1.700000
0.538652	0.442112	1.800000
0.540339	0.443166	1.900000
0.541939	0.444161	2.000000
0.543458	0.445101	2.100000
0.544902	0.445990	2.200000
0.546276	0.446831	2.300000
0.547585	0.447629	2.400000
0.548832	0.448385	2.500000
0.550021	0.449103	2.600000
0.551155	0.449785	2.700000
0.552238	0.450433	2.800000
0.553271	0.451049	2.900000
0.554258	0.451635	3.000000
0.555200	0.452192	3.100000
0.556100	0.452722	3.200000
0.556960	0.453226	3.300000
0.557781	0.453705	3.400000
0.558565	0.454161	3.500000
0.559313	0.454595	3.600000
0.560026	0.455007	3.700000
0.560707	0.455398	3.800000
0.561356	0.455770	3.900000
0.561975	0.456123	4.000000
0.562564	0.456458	4.100000
0.563124	0.456775	4.200000
0.563656	0.457076	4.300000
0.564162	0.457361	4.400000
0.564642	0.457629	4.500000
0.565097	0.457883	4.600000
0.565528	0.458123	4.700000
0.565935	0.458348	4.800000
0.566318	0.458560	4.900000
0.566680	0.458759	5.000000
0.567020	0.458945	5.100000
0.567339	0.459119	5.200000
0.567638	0.459281	5.300000
0.567916	0.459431	5.400000
0.568176	0.459571	5.500000
0.568416	0.459699	5.600000
0.568638	0.459818	5.700000
0.568843	0.459926	5.800000
0.569030	0.460025	5.900000
0.569200	0.460114	6.000000
0.569353	0.460194	6.100000
0.569491	0.460265	6.200000
0.569613	0.460327	6.300000
0.569719	0.460381	6.400000
0.569811	0.460428	6.500000
0.569889	0.460466	6.600000
0.569952	0.460497	6.700000
0.570002	0.460520	6.800000
0.570038	0.460536	6.900000
0.570062	0.460546	7.000000
0.570072	0.460548	7.100000
0.570071	0.460545	7.200000
0.570057	0.460535	7.300000
0.570032	0.460519	7.400000
0.569995	0.460497	7.500000
0.569948	0.460469	7.600000
0.569889	0.460436	7.700000
0.569820	0.460398	7.800000
0.569741	0.460354	7.900000
0.569651	0.460306	8.000000
0.569552	0.460253	8.100000
0.569444	0.460195	8.200000
0.569326	0.460133	8.300000
0.569200	0.460066	8.400000
0.569065	0.459995	8.500000
0.568921	0.459921	8.600000
0.568769	0.459842	8.700000
0.568609	0.459760	8.800000
0.568442	0.459674	8.900000
0.568266	0.459584	9.000000
0.568084	0.459491	9.100000
0.567894	0.459395	9.200000
0.567697	0.459296	9.300000
0.567493	0.459193	9.400000
0.567283	0.459088	9.500000
0.567067	0.458980	9.600000
0.566844	0.458869	9.700000
0.566615	0.458756	9.800000
0.566381	0.458640	9.900000
0.566140	0.458521	10.000000
