H	C	q
0.267226	0.239006	-10.000000
0.271851	0.242287	-9.900000
0.276602	0.245611	-9.800000
0.281483	0.248976	-9.700000
0.286500	0.252380	-9.600000
0.291658	0.255823	-9.500000
0.296963	0.259302	-9.400000
0.302422	0.262815	-9.300000
0.308041	0.266359	-9.200000
0.313828	0.269931	-9.100000
0.319790	0.273528	-9.000000
0.325935	0.277145	-8.900000
0.332270	0.280778	-8.800000
0.338806	0.284420	-8.700000
0.345550	0.288065	-8.600000
0.352512	0.291707	-8.500000
0.359703	0.295336	-8.400000
0.367133	0.298944	-8.300000
0.374813	0.302520	-8.200000
0.382753	0.306051	-8.100000
0.390967	0.309524	-8.000000
0.399466	0.312924	-7.900000
0.408263	0.316234	-7.800000
0.417370	0.319435	-7.700000
0.426801	0.322507	-7.600000
0.436569	0.325425	-7.500000
0.446686	0.328164	-7.400000
0.457166	0.330696	-7.300000
0.468022	0.332990	-7.200000
0.479265	0.335012	-7.100000
0.490907	0.336726	-7.000000
0.502958	0.338092	-6.900000
0.515425	0.339069	-6.800000
0.528316	0.339612	-6.700000
0.541633	0.339675	-6.600000
0.555379	0.339209	-6.500000
0.569551	0.338166	-6.400000
0.584140	0.336496	-6.300000
0.599137	0.334149	-6.200000
0.614523	0.331080	-6.100000
0.630275	0.327243	-6.000000
0.646362	0.322601	-5.900000
0.662747	0.317120	-5.800000
0.679386	0.310777	-5.700000
0.696223	0.303558	-5.600000
0.713200	0.295461	-5.500000
0.730246	0.286500	-5.400000
0.747285	0.276701	-5.300000
0.764237	0.266109	-5.200000
0.781015	0.254785	-5.100000
0.797527	0.242806	-5.000000
0.813684	0.230266	-4.900000
0.829394	0.217271	-4.800000
0.844572	0.203941	-4.700000
0.859135	0.190405	-4.600000
0.873010	0.176794	-4.500000
0.886134	0.163244	-4.400000
0.898454	0.149885	-4.300000
0.909933	0.136842	-4.200000
0.920545	0.124229	-4.100000
0.930280	0.112149	-4.000000
0.939141	0.100685	-3.900000
0.947143	0.089906	-3.800000
0.954312	0.079864	-3.700000
0.960688	0.070589	-3.600000
0.966313	0.062098	-3.500000
0.971240	0.054392	-3.400000
0.975523	0.047454	-3.300000
0.979221	0.041261	-3.200000
0.982391	0.035775	-3.100000
0.985091	0.030955	-3.000000
0.987376	0.026750	-2.900000
0.989298	0.023110	-2.800000
0.990905	0.019981	-2.700000
0.992242	0.017310	-2.600000
0.993350	0.015044	-2.500000
0.994263	0.013133	-2.400000
0.995014	0.011531	-2.300000
0.995628	0.010194	-2.200000
0.996131	0.009084	-2.100000
0.996541	0.008165	-2.000000
0.996875	0.007407	-1.900000
0.997147	0.006783	-1.800000
0.997369	0.006270	-1.700000
0.997550	0.005849	-1.600000
0.997697	0.005503	-1.500000
0.997817	0.005220	-1.400000
0.997915	0.004989	-1.300000
0.997995	0.004799	-1.200000
0.998060	0.004645	-1.100000
0.998113	0.004519	-1.000000
0.998156	0.004418	-0.900000
0.998189	0.004337	-0.800000
0.998216	0.004273	-0.700000
0.998236	0.004224	-0.600000
0.998251	0.004188	-0.500000
0.998262	0.004163	-0.400000
0.998268	0.004147	-0.300000
0.998271	0.004140	-0.200000
0.998271	0.004140	-0.100000
0.998268	0.004147	-0.000000
0.998262	0.004160	0.100000
0.998254	0.004179	0.200000
0.998244	0.004202	0.300000
0.998232	0.004231	0.400000
0.998218	0.004264	0.500000
0.998202	0.004301	0.600000
0.998184	0.004343	0.700000
0.998165	0.004388	0.800000
0.998145	0.004436	0.900000
0.998122	0.004489	1.000000
0.998099	0.004544	1.100000
0.998074	0.004603	1.200000
0.998048	0.004666	1.300000
0.998020	0.004731	1.400000
0.997991	0.004800	1.500000
0.997961	0.004872	1.600000
0.997929	0.004946	1.700000
0.997896	0.005024	1.800000
0.997862	0.005105	1.900000
0.997826	0.005189	2.000000
0.997790	0.005276	2.100000
0.997752	0.005366	2.200000
0.997712	0.005459	2.300000
0.997672	0.005556	2.400000
0.997630	0.005655	2.500000
0.997587	0.005757	2.600000
0.997542	0.005862	2.700000
0.997497	0.005971	2.800000
0.997450	0.006082	2.900000
0.997401	0.006197	3.000000
0.997351	0.006315	3.100000
0.997300	0.006436	3.200000
0.997248	0.006561	3.300000
0.997194	0.006688	3.400000
0.997138	0.006819	3.500000
0.997082	0.006954	3.600000
0.997023	0.007091	3.700000
0.996964	0.007233	3.800000
0.996902	0.007377	3.900000
0.996840	0.007526	4.000000
0.996775	0.007678	4.100000
0.996710	0.007833	4.200000
0.996642	0.007992	4.300000
0.996573	0.008155	4.400000
0.996503	0.008322	4.500000
0.996430	0.008493	4.600000
0.996356	0.008668	4.700000
0.996280	0.008846	4.800000
0.996203	0.009029	4.900000
